term_str,PC0,PC1,PC2,PC3,PC4
adriano,-1.3866026995135632e-05,-2.253802623376994e-05,-3.1353557838036204e-05,-1.0791163157892958e-05,9.698090599478194e-07
adriatic,-5.546410798054625e-05,-9.015210493508584e-05,-0.00012541423135215327,-4.316465263157476e-05,3.879236239791635e-06
adrienne,-6.9330134975671975e-06,-1.1269013116883966e-05,-1.567677891901671e-05,-5.395581578946012e-06,4.849045299738709e-07
adult,-7.153711789609643e-05,0.0001909585969469939,8.341608087975278e-06,-2.8356307159457154e-06,2.557943715189634e-07
advance,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
advanced,-1.89152283975499e-05,-3.569104459932039e-05,1.3202794848414958e-05,5.2844325214341084e-05,-5.7745328546068215e-06
advances,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
advantage,-9.645741042460578e-06,-1.596537285183707e-05,-2.0575159724584228e-05,-1.1130128108385367e-05,1.2050913478848394e-06
adventure,-1.2817522812238129e-05,-2.2886295854644285e-05,-2.5006874528103215e-06,-2.0218494234356063e-05,6.572680642491571e-05
advice,-1.9327801486401417e-05,-3.2936638187561585e-05,-4.445100513372402e-05,-3.442500053088677e-05,1.0353897398270895e-05
advise,-7.701796971081028e-06,-1.3302071444386119e-05,-2.118298283289703e-05,-1.3966243667949624e-05,-3.909604535379733e-05
aerial,-1.0790984303701507e-05,-1.811750062589491e-05,-2.7178562466194747e-05,-1.4276450848328416e-05,-2.8469942639192436e-05
aeronautical,-1.5856829111036465e-05,-2.7153865628233805e-05,-3.4792675586487044e-05,-3.0597750800326606e-05,1.477312829814121e-06
affair,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
affected,-7.701796971081028e-06,-1.3302071444386119e-05,-2.118298283289703e-05,-1.3966243667949624e-05,-3.909604535379733e-05
affecting,-6.14860982919968e-06,-1.0383340289635185e-05,-1.2227400575357696e-05,-9.6991781550786e-06,1.1494490171491839e-06
afflicted,-5.642427208804733e-06,-9.974139249282562e-06,-1.2581648285484679e-05,-1.0366488919014261e-05,-2.811324870066748e-06
afford,-1.4869972434152761e-05,-2.851366407338837e-05,4.30962133476881e-05,-8.567919445435452e-06,-1.3119249915270002e-05
afraid,4.6144794113901844e-05,-6.254483818629106e-05,0.00011650609163063776,2.0142021814007907e-05,-3.7806547916632994e-05
afresh,-9.26081147313649e-06,-1.6652504432408434e-05,-3.465533999120327e-05,0.0001478683937888457,5.699887702503636e-06
after,-2.3569038142798972e-05,-5.274280178623656e-06,-2.1439036876426482e-05,1.364138097878528e-05,-7.55858831955806e-06
afternoon,-1.2916464018453896e-05,-2.5394373588420952e-05,4.5511334915228436e-05,-6.586362222634277e-06,-3.87665229822827e-05
again,-0.0,-0.0,0.0,-0.0,-0.0
against,-2.5473981991170536e-05,-4.524279750949548e-05,-2.4691148923294674e-05,-4.115273708074499e-05,-2.7334574915663256e-05
age,4.2813947381991756e-05,2.5504538194002532e-05,6.609270437312934e-06,4.41678487743385e-06,-1.4275381582428449e-05
aged,-1.1427882694009324e-05,-2.0439854689547308e-05,-2.80536139438272e-05,-3.692801385939944e-05,-5.02738046953456e-05
agent,-9.272507051956153e-06,-1.5663648274469597e-05,-2.0836364438358104e-05,-1.1622170010447785e-05,-1.71538711946626e-06
agents,-9.26081147313649e-06,-1.6652504432408434e-05,-3.465533999120327e-05,0.0001478683937888457,5.699887702503636e-06
ages,0.00019117515866231733,3.226754840631641e-05,9.191843534091087e-05,1.4269212159263209e-05,-2.379042604084336e-05
agitated,-4.115492097239195e-06,-7.376959731791678e-06,-9.64373826616412e-06,-1.1965423326096936e-05,4.357407002055184e-06
ago,-2.980829378362566e-05,2.2818378543309648e-05,-2.244559635330278e-05,-1.0738510873193185e-05,-1.1186804039605755e-06
